preprint_doi,published_doi,published_journal,preprint_platform,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract,preprint_author_corresponding,preprint_author_corresponding_institution
10.1101/001081,10.1093/bioinformatics/btu121,Bioinformatics,bioRxiv,PyRAD: assembly of de novo RADseq loci for phylogenetic analyses,Deren A. R. Eaton;,Bioinformatics ,2013-12-03,2014-03-05,"Restriction-site associated genomic markers are a powerful tool for investigating evolutionary questions at the population level, but are limited in their utility at deeper phylogenetic scales where fewer orthologous loci are typically recovered across disparate taxa. While this limitation stems in part from mutations to restriction recognition sites that disrupt data generation, an alternative source of data loss comes from the failure to identify homology during bioinformatic analyses. Clustering methods that allow for lower similarity thresholds and the inclusion of indel variation will perform better at assembling RADseq loci at the phylogenetic scale.\n\nPyRAD is a pipeline to assemble de novo RADseq loci with the aim of optimizing coverage across phylogenetic data sets. It utilizes a wrapper around an alignment-clustering algorithm which allows for indel variation within and between samples, as well as for incomplete overlap among reads (e.g., paired-end). Here I compare PyRAD with the program Stacks in their performance analyzing a simulated RADseq data set that includes indel variation. Indels disrupt clustering of homologous loci in Stacks but not in PyRAD, such that the latter recovers more shared loci across disparate taxa. I show through re-analysis of an empirical RADseq data set that indels are a common feature of such data, even at shallow phylogenetic scales. PyRAD utilizes parallel processing as well as an optional hierarchical clustering method which allow it to rapidly assemble phylogenetic data sets with hundreds of sampled individuals.\n\nAvailabilitySoftware is written in Python and freely available at http://www.dereneaton.com/software/\n\nSupplementScripts to completely reproduce all simulated and empirical analyses are available in the Supplementary Materials.",Deren A. R. Eaton,University of Chicago
10.1101/001297,10.1371/journal.pone.0085203,PLOS ONE,bioRxiv,Aerodynamic characteristics of a feathered dinosaur measured using physical models. Effects of form on static stability and control effectiveness.,Dennis Evangelista;Griselda Cardona;Eric Guenther-Gleason;Tony Huynh;Austin Kwong;Dylan Marks;Neil Ray;Adrian Tisbe;Kyle Tse;Mimi Kohl;,Biophysics ,2013-12-10,2014-01-15,"We report the effects of posture and morphology on the static aerodynamic stability and control effectiveness of physical models based on the feathered dinosaur, {dagger}Microraptor gui, from the Cretaceous of China. Postures had similar lift and drag coefficients and were broadly similar when simplified metrics of gliding were considered, but they exhibited different stability characteristics depending on the position of the legs and the presence of feathers on the legs and the tail. Both stability and the function of appendages in generating maneuvering forces and torques changed as the glide angle or angle of attack were changed. These are significant because they represent an aerial environment that may have shifted during the evolution of directed aerial descent and other aerial behaviors. Certain movements were particularly effective (symmetric movements of the wings and tail in pitch, asymmetric wing movements, some tail movements). Other appendages altered their function from creating yaws at high angle of attack to rolls at low angle of attack, or reversed their function entirely. While {dagger}M. gui lived after {dagger}Archaeopteryx and likely represents a side experiment with feathered morphology, the general patterns of stability and control effectiveness suggested from the manipulations of forelimb, hindlimb and tail morphology here may help understand the evolution of flight control aerodynamics in vertebrates. Though these results rest on a single specimen, as further fossils with different morphologies tested, the findings here could be applied in a phylogenetic context to reveal biomechanical constraints on extinct flyers arising from the need to maneuver.",Dennis  Evangelista,UC Berkeley
10.1101/000422,10.3389/fgene.2014.00013,Frontiers in Genetics,bioRxiv,On the optimal trimming of high-throughput mRNAseq data,Matthew D MacManes;,Bioinformatics ,2013-11-14,2014-01-31,"The widespread and rapid adoption of high-throughput sequencing technologies has afforded researchers the opportunity to gain a deep understanding of genome level processes that underlie evolutionary change, and perhaps more importantly, the links between genotype and phenotype. In particular, researchers interested in functional biology and adaptation have used these technologies to sequence mRNA transcriptomes of specific tissues, which in turn are often compared to other tissues, or other individuals with different phenotypes. While these techniques are extremely powerful, careful attention to data quality is required. In particular, because high-throughput sequencing is more error-prone than traditional Sanger sequencing, quality trimming of sequence reads should be an important step in all data processing pipelines. While several software packages for quality trimming exist, no general guidelines for the specifics of trimming have been developed. Here, using empirically derived sequence data, I provide general recommendations regarding the optimal strength of trimming, specifically in mRNA-Seq studies. Although very aggressive quality trimming is common, this study suggests that a more gentle trimming, specifically of those nucleotides whose PO_SCPLOWHREDC_SCPLOW score <2 or <5, is optimal for most studies across a wide variety of metrics.",Matthew D MacManes,University of New Hampshire
10.1101/001396,10.1162/NECO_a_00568,Neural Computation,bioRxiv,Parametric inference in the large data limit using maximally informative models,Justin B. Kinney;Gurinder S. Atwal;,Biophysics ,2013-12-13,2014-03-10,"Motivated by data-rich experiments in transcriptional regulation and sensory neuro-science, we consider the following general problem in statistical inference. When exposed to a high-dimensional signal S, a system of interest computes a representation R of that signal which is then observed through a noisy measurement M. From a large number of signals and measurements, we wish to infer the \""filter\"" that maps S to R. However, the standard method for solving such problems, likelihood-based inference, requires perfect a priori knowledge of the \""noise function\"" mapping R to M. In practice such noise functions are usually known only approximately, if at all, and using an incorrect noise function will typically bias the inferred filter. Here we show that, in the large data limit, this need for a pre-characterized noise function can be circumvented by searching for filters that instead maximize the mutual information I[M; R] between observed measurements and predicted representations. Moreover, if the correct filter lies within the space of filters being explored, maximizing mutual information becomes equivalent to simultaneously maximizing every dependence measure that satisfies the Data Processing Inequality. It is important to note that maximizing mutual information will typically leave a small number of directions in parameter space unconstrained. We term these directions \""diffeomorphic modes\"" and present an equation that allows these modes to be derived systematically. The presence of diffeomorphic modes reflects a fundamental and nontrivial substructure within parameter space, one that is obscured by standard likelihood-based inference.",Justin B. Kinney,Cold Spring Harbor Laboratory
10.1101/002980,10.1016/j.bpj.2014.01.012,Biophysical Journal,bioRxiv,Genetic drift suppresses bacterial conjugation in spatially structured populations,Peter D. Freese;Kirill S. Korolev;Jose I Jimenez;Irene A. Chen;,Biophysics ,2014-02-24,2014-02-18,"Conjugation is the primary mechanism of horizontal gene transfer that spreads antibiotic resistance among bacteria. Although conjugation normally occurs in surface-associated growth (e.g., biofilms), it has been traditionally studied in well-mixed liquid cultures lacking spatial structure, which is known to affect many evolutionary and ecological processes. Here we visualize spatial patterns of gene transfer mediated by F plasmid conjugation in a colony of Escherichia coli growing on solid agar, and we develop a quantitative understanding by spatial extension of traditional mass-action models. We found that spatial structure suppresses conjugation in surface-associated growth because strong genetic drift leads to spatial isolation of donor and recipient cells, restricting conjugation to rare boundaries between donor and recipient strains. These results suggest that ecological strategies, such as enforcement of spatial structure and enhancement of genetic drift, could complement molecular strategies in slowing the spread of antibiotic resistance genes.",Irene A. Chen,Univ. of California - Santa Barbara
10.1101/001693,10.1103/PhysRevLett.112.068101,Physical Review Letters,bioRxiv,A statistical mechanics model for the collective epigenetic histone modification dynamics,Hang Zhang;XIAO-JUN TIAN;Abhishek Mukhopadhyay;Kenneth S Kim;Jianhua Xing;,Biophysics ,2014-01-08,2014-02-10,"Epigenetic histone modifications play an important role in the maintenance of different cell phenotypes. The exact molecular mechanism for inheritance of the modification patterns over cell generations remains elusive. We construct a Potts-type model based on experimentally observed nearest-neighbor enzyme lateral interactions and nucleosome covalent modification state biased enzyme recruitment. The model can lead to effective nonlocal interactions among nucleosomes suggested in previous theoretical studies, and epigenetic memory is robustly inheritable against stochastic cellular processes.\n\nPACS numbers: 82.39.Rt, 87.17.Aa, 87.16.Yc, 87.16.A",Jianhua  Xing,Virginia Tech
10.1101/000141,10.1371/journal.pcbi.1003433,PLOS Computational Biology,bioRxiv,Microenvironmental variables must influence intrinsic phenotypic parameters of cancer stem cells to affect tumourigenicity,Jacob Scott;Anita Hjelmeland;Prakash Chinnaiyan;Alexander R A Anderson;David Basanta;,Cancer Biology ,2013-11-07,2014-01-16,"Since the discovery of tumour initiating cells (TICs) in solid tumours, studies focussing on their role in cancer initiation and progression have abounded. The biological interrogation of these cells continues to yield volumes of information on their pro-tumourigenic behaviour, but actionable generalised conclusions have been scarce. Further, new information suggesting a dependence of tumour composition and growth on the microenvironment has yet to be studied theoretically. To address this point, we created a hybrid, discrete/continuous computational cellular automaton model of a generalised stem-cell driven tissue with a simple microenvironment. Using the model we explored the phenotypic traits inherent to the tumour initiating cells and the effect of the microenvironment on tissue growth. We identify the regions in phenotype parameter space where TICs are able to cause a disruption in homeostasis, leading to tissue overgrowth and tumour maintenance. As our parameters and model are non-specific, they could apply to any tissue TIC and do not assume specific genetic mutations. Targeting these phenotypic traits could represent a generalizable therapeutic strategy across cancer types. Further, we find that the microenvironmental variable does not strongly effect the outcomes, suggesting a need for direct feedback from the microenvironment onto stem-cell behaviour in future modelling endeavours.\n\nAuthor SummaryIn this paper, we present a mathematical/computational model of a tumour growing according to the canonical cancer stem-cell hypothesis with a simplified microenvironment. We explore the parameters of this model and find good agreement between our model and other theoretical models in terms of the intrinsic cellular parameters, which are difficult to study biologically. We find, however, disagreement between novel biological data and our model in terms of the microenvironmental changes. We conclude that future theoretical models of stem-cell driven tumours must include specific feedback from the microenvironment onto the individual cellular behavior. Further, we identify several cell intrinsic parameters which govern loss of homeostasis into a state of uncontrolled growth.",Jacob  Scott,H. Lee Moffitt Cancer Center and Research Institute and University of Oxford
10.1101/001602,10.7554/eLife.01856.001,eLife,bioRxiv,p97-dependent retrotranslocation and proteolytic processing govern formation of active Nrf1 upon proteasome inhibition,Senthil K Radhakrishnan;Willem den Besten;Raymond J Deshaies;,Cell Biology ,2013-12-29,2014-01-21,"Proteasome inhibition elicits an evolutionarily conserved response wherein proteasome subunit mRNAs are upregulated, resulting in recovery of proteasome activity. We previously demonstrated that the transcription factor Nrf1 mediates this homeostatic response in mammalian cells. We show here that Nrf1 is initially translocated into the lumen of the ER, but is rapidly and efficiently retrotranslocated to the cytosolic side of the membrane in a manner that depends on p97/VCP. Normally, retrotranslocated Nrf1 is degraded by the proteasome and active species do not accumulate. However, in cells with compromised proteasomes, retrotranslocated Nrf1 escapes degradation and is cleaved N-terminal to Leu-104 to yield a fragment that is no longer tethered to the ER-membrane. Importantly, this cleavage event is essential for Nrf1-dependent activation of proteasome gene expression upon proteasome inhibition. Our data uncover an unexpected role for p97 in activation of a transcription factor by relocalizing it from the ER lumen to the cytosol.",Raymond J Deshaies,California Institute of Technology
10.1101/001701,10.7554/eLife.00829,eLife,bioRxiv,An unmet actin requirement explains the mitotic inhibition of clathrin-mediated endocytosis,Satdip Kaur;Andrew B Fielding;Gisela Gassner;Nicholas J Carter;Stephen J Royle;,Cell Biology ,2014-01-09,2014-02-18,"Clathrin-mediated endocytosis (CME) is the major internalisation route for many different receptor types in mammalian cells. CME is shut down during early mitosis, but the mechanism of this inhibition is unclear. Here we show that the mitotic shutdown is due to an unmet requirement for actin in CME. In mitotic cells, membrane tension is increased and this invokes a requirement for the actin cytoskeleton to assist the CME machinery to overcome the increased load. However, the actin cytoskeleton is engaged in the formation of a rigid cortex in mitotic cells and is therefore unavailable for deployment. We demonstrate that CME can be \""restarted\"" in mitotic cells despite high membrane tension, by allowing actin to engage in endocytosis. Mitotic phosphorylation of endocytic proteins is maintained in mitotic cells with restored CME, indicating that direct phosphorylation of the CME machinery does not account for shutdown.",Stephen J Royle,University of Warwick
10.1101/001842,10.1098/rspb.2013.3127,Proceedings B,bioRxiv,The emergence of the rescue effect from explicit within- and between-patch dynamics in a metapopulation,Anders Eriksson;Federico Elías-Wolff;Bernhard Mehlig;Andrea Manica;,Ecology ,2014-01-15,2014-04-07,"Immigration can rescue local populations from extinction, helping to stabilise a metapopulation. Local population dynamics is important for determining the strength of this rescue effect, but the mechanistic link between local demographic parameters and the rescue effect at the metapopulation level has received very little attention by modellers. We develop an analytical framework that allows us to describe the emergence of the rescue effect from interacting local stochastic dynamics. We show this framework to be applicable to a wide range of spatial scales, providing a powerful and convenient alternative to individual-based models for making predictions concerning the fate of metapopulations. We show that the rescue effect plays an important role in minimising the increase in local extinction probability associated with high demographic stochasticity, but its role is more limited in the case of high local environmental stochasticity of recruitment or survival. While most models postulate the rescue effect, our framework provides an explicit mechanistic link between local dynamics and the emergence of the rescue effect, and more generally the stability of the whole metapopulation.",Anders  Eriksson,University of Cambridge
